Age,Gender,Education,HomeOwnership,Intent,Income,YearsExperience,LoanAmount,InterestRate,PercentIncome,CreditScore,YearsCreditHistory,PreviousLoanDefault,LoanApproved
25,male,Bachelor,MORTGAGE,MEDICAL,121077,5,15000,11.01,0.12,589,3,Yes,0
24,male,Master,RENT,DEBTCONSOLIDATION,98256,0,14000,14.17,0.14,555,4,Yes,0
22,male,Bachelor,MORTGAGE,VENTURE,121230,0,12000,11.11,0.1,585,3,Yes,0
24,male,Bachelor,MORTGAGE,VENTURE,120934,0,6000,5.79,0.05,686,2,Yes,0
22,female,High School,RENT,PERSONAL,99334,0,14000,7.9,0.14,648,4,Yes,0
23,male,Master,MORTGAGE,PERSONAL,120970,0,9125,11.11,0.08,666,3,No,0
25,female,Bachelor,MORTGAGE,MEDICAL,121172,2,12000,5.79,0.1,637,2,Yes,0
24,male,Bachelor,MORTGAGE,VENTURE,121046,0,30000,18.62,0.25,652,2,Yes,0
25,female,High School,MORTGAGE,EDUCATION,121266,2,7000,5.79,0.06,559,3,Yes,0
24,female,Bachelor,MORTGAGE,HOMEIMPROVEMENT,120811,2,12000,6.92,0.1,662,2,Yes,0
24,male,Bachelor,MORTGAGE,VENTURE,121194,1,12800,5.79,0.11,542,4,Yes,0
24,male,Associate,MORTGAGE,MEDICAL,120754,3,20000,6.17,0.17,652,4,No,0
24,female,Bachelor,MORTGAGE,EDUCATION,120805,4,7700,10.74,0.06,556,2,Yes,0
22,male,High School,MORTGAGE,EDUCATION,120667,0,10000,10.74,0.08,651,3,Yes,0
23,female,Bachelor,MORTGAGE,VENTURE,121433,2,25000,17.14,0.21,574,2,Yes,0
25,female,Bachelor,MORTGAGE,EDUCATION,120761,2,7500,6.54,0.06,626,4,Yes,0
23,male,Bachelor,MORTGAGE,PERSONAL,121274,2,16000,6.17,0.13,659,2,Yes,0
23,male,Bachelor,RENT,MEDICAL,104053,2,14000,6.62,0.13,663,3,No,0
24,female,Master,RENT,HOMEIMPROVEMENT,106608,0,14000,9.99,0.13,675,3,Yes,0
26,female,Associate,RENT,HOMEIMPROVEMENT,109124,1,14000,6.03,0.13,596,2,Yes,0
21,male,High School,MORTGAGE,PERSONAL,106482,0,25000,14.83,0.23,522,4,No,1
25,female,Associate,RENT,MEDICAL,110050,2,14000,12.23,0.13,683,2,Yes,0
25,male,High School,OWN,HOMEIMPROVEMENT,121016,3,15000,6.17,0.12,605,4,Yes,0
23,male,High School,MORTGAGE,MEDICAL,120994,0,17000,5.79,0.14,611,4,No,0
23,male,Bachelor,RENT,EDUCATION,114831,3,14000,12.69,0.12,605,2,Yes,0
24,female,Associate,MORTGAGE,HOMEIMPROVEMENT,120962,0,10000,6.54,0.08,580,3,Yes,0
26,female,Associate,MORTGAGE,HOMEIMPROVEMENT,121083,1,2000,5.42,0.02,606,2,Yes,0
24,female,High School,MORTGAGE,DEBTCONSOLIDATION,121085,1,5000,9.62,0.04,547,4,Yes,0
24,female,High School,MORTGAGE,VENTURE,121186,3,16000,6.54,0.13,666,2,No,0
23,female,High School,MORTGAGE,VENTURE,120760,2,14000,6.17,0.12,640,3,No,0
23,female,Bachelor,RENT,EDUCATION,100690,0,14000,17.51,0.14,695,4,No,1
24,female,Bachelor,RENT,VENTURE,114752,1,14000,11.01,0.12,638,2,Yes,0
22,male,Bachelor,MORTGAGE,EDUCATION,121090,3,20000,6.91,0.17,586,4,Yes,0
23,female,High School,MORTGAGE,PERSONAL,120988,3,5400,12.23,0.04,671,2,Yes,0
22,female,High School,MORTGAGE,EDUCATION,120969,0,13500,11.01,0.11,531,4,Yes,0
26,male,High School,RENT,VENTURE,121156,2,14000,13.85,0.12,620,4,Yes,0
24,male,Associate,MORTGAGE,EDUCATION,121210,0,16800,7.88,0.14,637,4,Yes,0
24,male,Bachelor,RENT,MEDICAL,90876,3,14000,16.45,0.15,545,2,No,1
25,male,Bachelor,MORTGAGE,EDUCATION,120643,2,15000,7.88,0.12,501,2,Yes,0
24,male,Associate,MORTGAGE,PERSONAL,120909,4,14000,10.75,0.12,599,3,No,0
25,female,Master,MORTGAGE,PERSONAL,120996,4,13750,15.95,0.11,699,4,No,0
24,female,Master,MORTGAGE,DEBTCONSOLIDATION,120940,6,3600,13.23,0.03,675,2,Yes,0
24,female,Bachelor,MORTGAGE,VENTURE,121274,0,7000,6.76,0.06,701,3,Yes,0
24,male,Master,RENT,MEDICAL,127127,3,14000,7.88,0.11,593,4,Yes,0
26,female,High School,MORTGAGE,DEBTCONSOLIDATION,120845,1,17000,13.61,0.14,657,3,Yes,0
24,male,Bachelor,RENT,EDUCATION,118460,3,14000,14.26,0.12,614,3,No,1
25,male,Bachelor,MORTGAGE,PERSONAL,120717,0,7000,13.98,0.06,648,3,No,0
25,male,Master,MORTGAGE,PERSONAL,121101,4,10000,7.51,0.08,655,4,Yes,0
23,female,Bachelor,MORTGAGE,EDUCATION,121171,2,15000,7.88,0.12,626,4,Yes,0
24,female,Bachelor,MORTGAGE,DEBTCONSOLIDATION,121266,1,16000,14.72,0.13,586,2,No,0
24,female,High School,RENT,MEDICAL,133132,0,14000,7.88,0.11,633,2,Yes,0
25,male,High School,MORTGAGE,EDUCATION,121158,1,25000,10.75,0.21,619,4,No,0
23,male,High School,RENT,DEBTCONSOLIDATION,136528,2,14000,13.49,0.1,630,2,No,0
23,male,Associate,RENT,MEDICAL,144787,2,14000,9.99,0.1,659,4,No,0
26,male,Bachelor,MORTGAGE,EDUCATION,120967,3,24000,10.99,0.2,706,4,No,0
22,female,High School,MORTGAGE,VENTURE,120956,0,15000,13.85,0.12,608,3,Yes,0
24,male,Master,RENT,MEDICAL,145248,1,14000,10.0,0.1,573,3,Yes,0
25,male,Bachelor,MORTGAGE,PERSONAL,121010,7,4800,7.14,0.04,625,3,Yes,0
23,male,Associate,MORTGAGE,DEBTCONSOLIDATION,120810,3,20000,11.36,0.17,541,3,Yes,0
26,female,Associate,RENT,VENTURE,145225,0,14000,11.01,0.1,607,4,Yes,0
26,female,Bachelor,MORTGAGE,EDUCATION,121187,4,14000,13.11,0.12,572,2,Yes,0
23,female,Bachelor,RENT,DEBTCONSOLIDATION,147377,2,14000,13.48,0.09,678,2,Yes,0
25,female,High School,MORTGAGE,MEDICAL,121230,0,15000,12.73,0.12,535,4,Yes,0
24,male,Bachelor,MORTGAGE,VENTURE,120944,0,25000,15.33,0.21,659,2,Yes,0
22,male,Master,OWN,EDUCATION,37192,0,7500,11.01,0.2,653,2,No,0
24,male,Bachelor,OWN,HOMEIMPROVEMENT,120880,1,24000,10.99,0.2,493,4,Yes,0
22,female,Master,RENT,DEBTCONSOLIDATION,154715,0,14000,8.94,0.09,633,3,No,0
25,female,High School,MORTGAGE,MEDICAL,121301,4,14000,10.25,0.12,618,2,No,0
22,female,Associate,RENT,MEDICAL,169168,1,14000,13.11,0.08,637,3,Yes,0
21,female,High School,OWN,PERSONAL,121010,0,5000,7.14,0.04,626,3,Yes,0
24,male,Bachelor,RENT,VENTURE,175284,4,14000,12.84,0.08,704,4,Yes,0
24,male,High School,MORTGAGE,PERSONAL,121035,0,17400,16.07,0.14,631,4,Yes,0
25,male,Master,MORTGAGE,EDUCATION,120841,1,8000,10.25,0.07,650,3,No,0
24,male,Associate,MORTGAGE,HOMEIMPROVEMENT,120820,1,12000,15.33,0.1,668,4,No,0
22,male,High School,MORTGAGE,DEBTCONSOLIDATION,121038,0,20000,11.83,0.17,611,2,Yes,0
24,male,Associate,RENT,HOMEIMPROVEMENT,178352,2,14000,5.42,0.08,676,2,Yes,0
22,female,Master,MORTGAGE,DEBTCONSOLIDATION,106683,0,25000,18.09,0.23,624,2,No,1
23,male,Associate,OWN,VENTURE,121164,3,1000,14.26,0.01,641,3,No,0
23,male,Bachelor,MORTGAGE,EDUCATION,121278,0,15000,16.0,0.12,703,2,Yes,0
25,female,Associate,MORTGAGE,HOMEIMPROVEMENT,120810,5,25000,11.48,0.21,648,3,No,0
24,female,High School,MORTGAGE,HOMEIMPROVEMENT,121015,0,10000,12.87,0.08,681,4,Yes,0
22,male,Bachelor,MORTGAGE,DEBTCONSOLIDATION,120758,0,15000,8.94,0.12,659,3,Yes,0
23,male,High School,RENT,VENTURE,30138,0,14075,11.01,0.47,650,3,No,1
26,female,Associate,MORTGAGE,EDUCATION,121110,1,10000,14.26,0.08,510,2,No,0
23,female,High School,MORTGAGE,PERSONAL,120911,0,7000,8.59,0.06,539,3,Yes,0
24,male,High School,MORTGAGE,DEBTCONSOLIDATION,120708,0,13000,11.48,0.11,620,4,No,0
21,female,Bachelor,RENT,VENTURE,34734,0,14075,11.01,0.41,626,2,No,1
22,female,Bachelor,RENT,PERSONAL,56223,2,14100,14.26,0.25,659,2,No,1
23,male,High School,MORTGAGE,DEBTCONSOLIDATION,121110,2,10000,13.57,0.08,611,3,Yes,0
25,male,High School,MORTGAGE,MEDICAL,120823,3,12000,8.94,0.1,587,4,Yes,0
23,female,Bachelor,MORTGAGE,EDUCATION,121225,0,10000,12.87,0.08,529,3,Yes,0
24,female,High School,MORTGAGE,VENTURE,120899,0,12000,12.18,0.1,487,3,Yes,0
23,male,Associate,MORTGAGE,VENTURE,121312,0,25000,11.58,0.21,620,3,No,0
24,female,Associate,MORTGAGE,EDUCATION,120885,3,15000,12.21,0.12,524,2,Yes,0
24,male,Associate,MORTGAGE,EDUCATION,106858,2,25000,18.84,0.23,697,2,No,1
23,male,Bachelor,RENT,MEDICAL,39356,0,14125,7.9,0.36,623,2,No,1
23,male,Master,OTHER,EDUCATION,120773,2,15000,11.01,0.12,506,2,Yes,0
26,male,Bachelor,OWN,PERSONAL,36814,1,6000,7.9,0.16,606,2,Yes,0
22,male,Associate,MORTGAGE,MEDICAL,121327,2,24000,13.47,0.2,630,4,Yes,0
23,female,Associate,MORTGAGE,PERSONAL,121175,0,6850,13.47,0.06,620,4,Yes,0
25,male,High School,RENT,MEDICAL,40392,1,14125,9.91,0.35,565,3,No,1
23,female,High School,OWN,EDUCATION,36763,4,14125,6.62,0.38,629,4,Yes,0
24,male,Bachelor,MORTGAGE,EDUCATION,106928,0,15000,10.2,0.14,608,4,No,1
26,male,Bachelor,OWN,VENTURE,37016,1,1925,6.03,0.05,557,3,No,0
24,female,Associate,OTHER,MEDICAL,120709,4,25000,11.01,0.21,681,3,Yes,0
25,male,High School,OWN,MEDICAL,121138,1,15000,11.28,0.12,626,4,Yes,0
26,female,High School,MORTGAGE,DEBTCONSOLIDATION,121220,4,7500,8.32,0.06,607,3,Yes,0
24,male,Associate,MORTGAGE,DEBTCONSOLIDATION,121386,0,6000,11.01,0.05,658,3,No,0
24,male,Associate,MORTGAGE,HOMEIMPROVEMENT,106791,1,6400,11.66,0.06,587,3,No,1
22,female,Bachelor,RENT,DEBTCONSOLIDATION,48848,1,14125,11.49,0.29,602,3,No,1
26,male,High School,MORTGAGE,EDUCATION,120951,4,12800,9.45,0.11,637,3,Yes,0
26,male,High School,RENT,PERSONAL,111152,4,14200,10.99,0.13,660,3,Yes,0
23,male,Bachelor,MORTGAGE,DEBTCONSOLIDATION,120903,0,15000,11.34,0.12,565,2,Yes,0
21,male,Bachelor,RENT,EDUCATION,94451,0,14275,9.91,0.15,622,4,No,0
26,male,Associate,RENT,PERSONAL,162677,0,14275,9.45,0.09,629,2,No,0
22,female,Associate,MORTGAGE,MEDICAL,91237,1,17000,16.02,0.19,667,4,No,1
23,female,High School,MORTGAGE,PERSONAL,121036,0,20600,12.53,0.17,677,4,Yes,0
24,male,Associate,MORTGAGE,EDUCATION,106605,0,1950,9.99,0.02,713,2,No,1
24,male,Master,MORTGAGE,MEDICAL,91033,2,14000,9.99,0.15,692,2,No,1
24,male,Bachelor,MORTGAGE,HOMEIMPROVEMENT,121430,1,10000,16.4,0.08,627,4,Yes,0
25,male,Master,OWN,HOMEIMPROVEMENT,121567,4,35000,11.99,0.29,652,3,Yes,0
23,male,Associate,MORTGAGE,DEBTCONSOLIDATION,121841,0,20000,7.9,0.16,680,4,No,0
24,female,High School,RENT,PERSONAL,42824,2,14400,15.7,0.34,586,4,No,1
26,male,Associate,MORTGAGE,EDUCATION,122207,5,8000,11.99,0.07,648,3,Yes,0
24,male,Associate,MORTGAGE,EDUCATION,121782,3,21000,11.49,0.17,667,4,Yes,0
24,female,Associate,MORTGAGE,MEDICAL,122239,0,10800,10.75,0.09,625,4,Yes,0
25,male,Bachelor,MORTGAGE,MEDICAL,91509,4,6000,14.74,0.07,519,4,No,1
22,male,Associate,OWN,EDUCATION,37079,0,15000,6.62,0.4,670,4,No,0
24,male,High School,MORTGAGE,HOMEIMPROVEMENT,121912,0,6000,5.99,0.05,521,4,Yes,0
23,male,Master,RENT,PERSONAL,44225,3,14400,13.57,0.33,531,2,No,1
24,male,Associate,MORTGAGE,DEBTCONSOLIDATION,122028,0,16000,7.51,0.13,540,2,Yes,0
25,male,Master,MORTGAGE,EDUCATION,122181,2,17000,11.71,0.14,585,3,No,0
23,female,High School,MORTGAGE,PERSONAL,122231,0,20000,17.43,0.16,565,3,Yes,0
22,male,Associate,OWN,MEDICAL,37347,0,7200,10.99,0.19,559,2,Yes,0
24,male,Associate,RENT,MEDICAL,42327,2,14400,16.82,0.34,692,3,No,1
21,female,Master,RENT,PERSONAL,45101,0,14400,15.05,0.32,681,4,No,1
26,female,Bachelor,MORTGAGE,PERSONAL,122102,0,16000,7.88,0.13,627,3,No,0
22,female,Master,MORTGAGE,EDUCATION,122339,0,25000,11.01,0.2,722,3,No,0
22,male,Associate,RENT,DEBTCONSOLIDATION,52670,0,14400,11.01,0.27,631,4,No,1
24,female,Associate,OWN,MEDICAL,122458,1,24250,12.53,0.2,668,4,Yes,0
24,male,Associate,MORTGAGE,VENTURE,107717,4,25000,15.65,0.23,576,4,No,1
26,male,Associate,RENT,MEDICAL,52630,1,14400,9.62,0.27,638,4,No,1
21,male,Associate,MORTGAGE,DEBTCONSOLIDATION,121890,0,14000,10.25,0.11,554,2,Yes,0
22,male,High School,RENT,DEBTCONSOLIDATION,52737,1,14400,7.88,0.27,563,2,No,1
22,male,Bachelor,OWN,VENTURE,37100,0,6000,7.49,0.16,629,3,Yes,0
23,male,Bachelor,MORTGAGE,EDUCATION,122452,4,20500,13.48,0.17,646,4,Yes,0
26,male,Associate,MORTGAGE,DEBTCONSOLIDATION,122390,7,5600,6.62,0.05,668,3,Yes,0
24,male,Bachelor,MORTGAGE,PERSONAL,122567,2,9900,8.0,0.08,685,4,No,0
24,male,High School,MORTGAGE,PERSONAL,122825,3,6400,11.01,0.05,650,3,Yes,0
23,female,Associate,RENT,EDUCATION,54985,1,14400,11.01,0.26,606,3,No,1
22,male,High School,RENT,DEBTCONSOLIDATION,58532,0,14400,13.49,0.25,570,2,Yes,0
24,male,High School,MORTGAGE,VENTURE,123742,4,13600,6.62,0.11,600,3,Yes,0
23,female,Bachelor,OWN,MEDICAL,123128,0,30000,16.77,0.24,679,2,Yes,0
24,male,Bachelor,RENT,DEBTCONSOLIDATION,61194,1,14400,11.01,0.24,524,2,Yes,0
25,female,Master,MORTGAGE,EDUCATION,123338,3,6975,9.91,0.06,630,3,Yes,0
23,male,Bachelor,RENT,DEBTCONSOLIDATION,62100,0,14400,7.51,0.23,665,4,Yes,0
23,female,Master,MORTGAGE,DEBTCONSOLIDATION,123342,0,25000,11.71,0.2,636,4,No,0
24,male,Master,RENT,HOMEIMPROVEMENT,55934,0,14400,11.01,0.26,609,3,No,1
23,male,Bachelor,MORTGAGE,PERSONAL,123412,0,35000,7.9,0.28,685,3,Yes,0
25,male,Bachelor,OWN,MEDICAL,123431,3,8000,12.42,0.06,627,4,Yes,0
24,female,Master,MORTGAGE,MEDICAL,123218,0,12000,15.27,0.1,568,3,No,0
24,male,High School,OWN,PERSONAL,123569,0,23800,8.9,0.19,643,2,Yes,0
21,female,High School,RENT,PERSONAL,68988,0,14400,18.79,0.21,592,3,No,0
26,female,Associate,MORTGAGE,PERSONAL,123206,5,13000,5.42,0.11,641,3,Yes,0
24,male,Associate,RENT,MEDICAL,69536,3,14400,7.49,0.21,625,4,Yes,0
25,female,Master,MORTGAGE,DEBTCONSOLIDATION,123491,2,11200,7.91,0.09,553,4,Yes,0
22,male,Master,MORTGAGE,MEDICAL,123248,0,18000,8.49,0.15,587,3,Yes,0
22,male,High School,MORTGAGE,PERSONAL,123482,2,10000,7.49,0.08,607,4,Yes,0
23,female,Associate,MORTGAGE,PERSONAL,109212,1,15000,9.99,0.14,683,3,No,1
24,male,Associate,MORTGAGE,VENTURE,123290,1,9800,10.36,0.08,602,2,Yes,0
23,female,High School,MORTGAGE,DEBTCONSOLIDATION,123245,0,6000,11.01,0.05,656,3,Yes,0
23,male,Bachelor,RENT,DEBTCONSOLIDATION,71633,0,14400,11.01,0.2,629,4,Yes,0
23,male,Bachelor,MORTGAGE,EDUCATION,123399,0,10000,11.49,0.08,573,2,Yes,0
23,male,High School,RENT,PERSONAL,72178,4,14400,8.9,0.2,691,3,Yes,0
26,male,Master,MORTGAGE,DEBTCONSOLIDATION,123307,5,6000,13.61,0.05,710,2,No,0
25,female,Bachelor,MORTGAGE,DEBTCONSOLIDATION,123380,2,14400,11.01,0.12,634,2,Yes,0
23,male,Associate,MORTGAGE,EDUCATION,123315,4,20000,11.01,0.16,658,3,No,0
24,female,Bachelor,MORTGAGE,MEDICAL,123548,0,7200,11.01,0.06,670,3,Yes,0
22,female,Bachelor,RENT,DEBTCONSOLIDATION,65719,0,14400,11.01,0.22,536,4,No,1
24,female,Bachelor,MORTGAGE,VENTURE,123313,3,20000,10.25,0.16,598,3,Yes,0
23,female,Associate,MORTGAGE,PERSONAL,123540,0,6000,7.51,0.05,681,2,No,0
26,female,Bachelor,MORTGAGE,DEBTCONSOLIDATION,123508,3,20000,11.36,0.16,665,4,Yes,0
23,male,Associate,RENT,PERSONAL,74145,0,14400,12.84,0.19,592,3,Yes,0
25,male,High School,RENT,PERSONAL,73841,0,14400,12.53,0.2,678,2,No,0
24,male,High School,OWN,MEDICAL,123535,3,24250,11.83,0.2,621,3,No,0
22,female,Bachelor,OWN,MEDICAL,123087,0,7000,12.87,0.06,553,3,Yes,0
25,male,Master,RENT,DEBTCONSOLIDATION,75515,1,14400,13.47,0.19,608,3,No,0
25,female,Associate,RENT,MEDICAL,78012,3,14400,9.62,0.18,625,2,No,0
21,female,Associate,MORTGAGE,EDUCATION,123314,3,18000,14.96,0.15,685,3,No,0
23,male,High School,OWN,EDUCATION,123061,1,15000,8.94,0.12,486,3,Yes,0
24,female,Master,RENT,EDUCATION,85082,1,14400,12.68,0.17,621,4,Yes,0
24,female,Bachelor,MORTGAGE,VENTURE,109107,0,19200,12.84,0.18,549,4,No,1
24,male,Associate,RENT,HOMEIMPROVEMENT,84718,1,14400,12.23,0.17,603,4,Yes,0
23,male,Bachelor,RENT,DEBTCONSOLIDATION,87564,0,14400,11.14,0.16,685,3,No,0
25,male,Associate,MORTGAGE,DEBTCONSOLIDATION,123617,3,15000,11.58,0.12,673,2,No,0
24,male,Associate,RENT,PERSONAL,87222,2,14400,10.0,0.17,516,4,Yes,0
23,female,Associate,RENT,PERSONAL,82699,2,14400,17.99,0.17,696,3,No,1
26,male,Bachelor,MORTGAGE,VENTURE,123817,5,25000,11.01,0.2,657,2,No,0
26,female,Master,MORTGAGE,EDUCATION,123885,5,11800,6.03,0.1,615,2,Yes,0
24,male,High School,MORTGAGE,DEBTCONSOLIDATION,124712,2,16000,7.88,0.13,541,2,Yes,0
24,male,Associate,MORTGAGE,VENTURE,124658,0,20000,6.91,0.16,628,4,No,0
24,female,Bachelor,MORTGAGE,VENTURE,124427,0,5000,14.22,0.04,662,4,No,0
22,male,Associate,MORTGAGE,MEDICAL,124582,0,8000,7.74,0.06,596,3,Yes,0
24,male,Associate,MORTGAGE,VENTURE,124651,3,21000,13.49,0.17,614,2,No,0
24,female,Master,OWN,EDUCATION,124760,2,24000,16.77,0.19,672,3,No,0
23,male,Bachelor,MORTGAGE,DEBTCONSOLIDATION,124530,0,4000,13.49,0.03,651,2,No,0
22,female,Master,MORTGAGE,VENTURE,124793,0,15000,15.99,0.12,639,2,No,0
25,female,Bachelor,MORTGAGE,PERSONAL,124632,3,29175,11.01,0.23,659,2,No,0
22,male,Master,MORTGAGE,MEDICAL,124907,0,2500,11.01,0.02,688,3,No,0
24,male,Associate,MORTGAGE,PERSONAL,124712,2,8000,10.74,0.06,631,3,Yes,0
23,male,Associate,MORTGAGE,DEBTCONSOLIDATION,124795,0,21850,10.0,0.18,600,3,Yes,0
24,female,Associate,MORTGAGE,HOMEIMPROVEMENT,124515,4,6400,10.37,0.05,672,3,No,0
23,male,High School,MORTGAGE,EDUCATION,124605,3,17000,14.35,0.14,670,4,Yes,0
22,male,Associate,MORTGAGE,MEDICAL,124091,1,6000,11.01,0.05,528,4,Yes,0
22,female,Bachelor,RENT,EDUCATION,92039,0,14400,14.35,0.16,614,2,No,0
23,male,Associate,RENT,VENTURE,94467,1,14400,14.27,0.15,649,4,Yes,0
22,male,Associate,RENT,PERSONAL,97151,0,14400,11.71,0.15,622,2,No,0
23,female,High School,RENT,MEDICAL,97058,1,14400,12.68,0.15,546,4,Yes,0
26,male,Associate,MORTGAGE,DEBTCONSOLIDATION,110257,0,5000,14.96,0.05,684,2,No,1
24,female,Bachelor,MORTGAGE,MEDICAL,93521,0,25000,15.7,0.27,609,3,No,1
21,male,Master,RENT,VENTURE,97459,2,14400,11.01,0.15,654,4,No,0
23,female,High School,OWN,DEBTCONSOLIDATION,37049,3,4000,15.65,0.11,551,4,Yes,0
26,female,Bachelor,RENT,MEDICAL,98735,5,14400,10.37,0.15,618,4,Yes,0
21,female,High School,OWN,DEBTCONSOLIDATION,36940,0,4000,11.01,0.11,596,3,No,0
23,male,Associate,MORTGAGE,PERSONAL,124275,0,20000,17.04,0.16,558,2,Yes,0
23,male,High School,RENT,VENTURE,99203,2,14400,7.66,0.15,662,2,No,0
26,male,High School,MORTGAGE,PERSONAL,124865,3,9000,6.76,0.07,600,2,Yes,0
23,female,Master,MORTGAGE,VENTURE,125087,0,4000,11.01,0.03,681,4,Yes,0
25,female,Associate,MORTGAGE,PERSONAL,124931,2,7500,6.54,0.06,642,3,Yes,0
25,male,Bachelor,RENT,EDUCATION,103083,4,14400,8.49,0.14,614,2,No,0
26,female,Associate,RENT,DEBTCONSOLIDATION,106740,4,14400,11.01,0.13,612,2,Yes,0
25,female,Associate,OWN,PERSONAL,37041,1,3425,6.17,0.09,582,2,Yes,0
26,female,Associate,RENT,HOMEIMPROVEMENT,114327,3,14400,10.37,0.13,574,3,Yes,0
22,male,Bachelor,MORTGAGE,PERSONAL,125433,0,13600,6.03,0.11,564,2,Yes,0
23,male,Associate,MORTGAGE,PERSONAL,125802,0,9000,10.65,0.07,677,2,No,0
26,male,Master,MORTGAGE,MEDICAL,94825,2,15000,14.27,0.16,595,4,No,1
25,male,Associate,MORTGAGE,HOMEIMPROVEMENT,125829,6,14000,10.99,0.11,682,3,Yes,0
23,male,Master,MORTGAGE,EDUCATION,125886,0,5000,11.01,0.04,629,4,No,0
25,male,Master,OWN,HOMEIMPROVEMENT,125968,2,10000,6.92,0.08,706,2,Yes,0
25,female,High School,RENT,MEDICAL,120697,2,14400,11.71,0.12,669,3,No,0
25,male,Associate,OWN,DEBTCONSOLIDATION,36715,1,1200,16.69,0.03,661,3,No,1
22,female,Master,RENT,MEDICAL,120644,2,14400,10.74,0.12,644,3,Yes,0
22,male,High School,OWN,PERSONAL,37016,0,3000,10.36,0.08,564,2,Yes,0
26,male,Master,OWN,PERSONAL,37108,4,7000,9.99,0.19,578,2,Yes,0
24,male,Associate,MORTGAGE,PERSONAL,125650,2,14000,9.99,0.11,680,3,Yes,0
24,male,Master,MORTGAGE,VENTURE,125695,0,19000,11.01,0.15,603,4,Yes,0
25,female,High School,RENT,DEBTCONSOLIDATION,136793,2,14400,11.71,0.11,639,4,No,1
26,male,Master,RENT,VENTURE,156890,4,14400,14.46,0.09,686,2,Yes,0
25,male,Bachelor,MORTGAGE,VENTURE,125566,1,11000,13.11,0.09,631,3,Yes,0
24,male,Associate,RENT,MEDICAL,163397,0,14400,12.69,0.09,592,4,Yes,0
26,female,Associate,RENT,PERSONAL,34726,0,14500,12.53,0.42,598,3,No,1
24,female,Associate,MORTGAGE,EDUCATION,125869,3,25000,12.84,0.2,668,2,Yes,0
21,male,Associate,MORTGAGE,EDUCATION,125706,0,15000,9.63,0.12,569,4,Yes,0
26,male,Associate,MORTGAGE,DEBTCONSOLIDATION,125524,1,15000,14.22,0.12,670,2,Yes,0
25,male,High School,MORTGAGE,HOMEIMPROVEMENT,111676,0,2500,15.27,0.02,597,3,No,1
26,female,Associate,RENT,VENTURE,36834,2,14500,7.66,0.39,613,2,No,1
24,female,Bachelor,MORTGAGE,VENTURE,126430,2,5000,15.28,0.04,662,2,No,0
26,male,Associate,MORTGAGE,MEDICAL,126589,0,16000,5.99,0.13,505,4,Yes,0
21,male,Bachelor,MORTGAGE,MEDICAL,126342,2,19200,11.99,0.15,502,3,Yes,0
25,male,Associate,MORTGAGE,DEBTCONSOLIDATION,126625,0,12000,11.01,0.09,651,2,No,0
25,female,Bachelor,RENT,VENTURE,36986,7,14500,14.42,0.39,634,4,No,1
25,male,Bachelor,MORTGAGE,DEBTCONSOLIDATION,127155,2,9600,11.71,0.08,615,3,Yes,0
24,male,Bachelor,MORTGAGE,EDUCATION,126861,2,13000,9.91,0.1,556,3,Yes,0
25,male,Master,RENT,MEDICAL,37764,2,14500,17.04,0.38,653,3,No,1
24,male,Master,MORTGAGE,PERSONAL,126788,0,12000,16.29,0.09,674,2,No,0
22,female,Master,MORTGAGE,MEDICAL,127132,0,12000,6.62,0.09,593,4,No,0
26,male,Associate,OWN,HOMEIMPROVEMENT,127092,4,4800,11.71,0.04,619,4,No,0
26,male,High School,MORTGAGE,HOMEIMPROVEMENT,127135,3,7200,10.65,0.06,619,4,Yes,0
24,female,Associate,MORTGAGE,EDUCATION,126946,0,3000,11.01,0.02,630,3,No,0
23,female,Master,MORTGAGE,VENTURE,127066,0,7200,7.51,0.06,706,3,Yes,0
26,male,Associate,RENT,MEDICAL,43119,2,14500,11.49,0.34,644,3,No,1
26,male,Associate,MORTGAGE,PERSONAL,127009,3,5300,12.69,0.04,680,4,No,0
21,male,Master,RENT,VENTURE,37197,0,14500,14.59,0.39,696,2,No,1
24,female,High School,MORTGAGE,PERSONAL,127123,4,11000,5.42,0.09,607,3,Yes,0
26,female,High School,RENT,DEBTCONSOLIDATION,43961,0,14500,9.88,0.33,593,3,No,1
26,male,Bachelor,MORTGAGE,DEBTCONSOLIDATION,127042,2,12000,11.99,0.09,662,2,No,0
26,male,High School,RENT,VENTURE,45611,3,14500,15.33,0.32,598,4,No,1
26,male,Associate,MORTGAGE,VENTURE,126962,4,12000,10.99,0.09,595,2,Yes,0
23,female,Associate,MORTGAGE,EDUCATION,127227,1,20000,11.49,0.16,645,4,Yes,0
25,male,Master,MORTGAGE,VENTURE,126894,7,16000,8.49,0.13,597,4,Yes,0
26,male,Associate,OWN,EDUCATION,127043,5,10000,7.49,0.08,622,2,Yes,0
22,male,Associate,MORTGAGE,DEBTCONSOLIDATION,126831,0,3650,11.99,0.03,645,3,Yes,0
26,female,Associate,MORTGAGE,DEBTCONSOLIDATION,126880,1,6000,10.99,0.05,616,4,No,0
23,male,Bachelor,OWN,VENTURE,127086,1,5000,11.01,0.04,608,3,Yes,0
24,male,High School,MORTGAGE,HOMEIMPROVEMENT,127132,0,5600,15.23,0.04,468,4,Yes,0
23,male,Bachelor,MORTGAGE,VENTURE,127172,2,19000,11.99,0.15,677,3,No,0
22,male,High School,RENT,PERSONAL,38365,0,14500,11.58,0.38,579,3,No,1
